id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,class
41,1,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,2
42,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,1,6,4,2
43,3,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,1,6,5,2
44,3,3,9,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,1,1
45,3,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,3,2
46,3,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,1,2
47,3,3,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,3,2
48,3,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,2
49,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,4,4,2
50,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,4,4,2
51,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,4,1,2
52,3,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,1,2
53,1,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,3,2
54,3,3,1,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,1
55,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,5,1
56,1,3,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,3,2
57,4,1,4,2,7,3,2,1,2,2,4,4,4,8,8,1,3,2,2,2,1,1,2
58,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,1,2
59,3,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,3,1,2
60,3,3,1,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,6,1,6,4,2
61,6,1,4,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,2
62,1,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,3,2
63,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,2
64,1,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,2
65,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,2
66,4,4,1,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,1,1,1,2
67,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,1,2
68,4,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,4,1,2
69,3,3,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,1,2
70,3,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,5,2
71,4,1,10,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,6,2,5,7,2
72,1,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,2
73,4,1,10,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,2
74,3,3,1,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,6,1,4,4,2
75,1,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,1,2
76,4,4,10,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,6,2,5,7,2
77,3,4,9,1,2,3,2,2,2,2,1,4,4,8,8,1,3,2,6,7,5,7,2
78,4,3,1,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,6,2,6,4,2
79,3,3,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,2,5,5,1
80,4,3,1,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,6,1,2
81,3,4,1,2,7,3,2,1,1,2,4,1,4,8,8,1,3,2,2,2,4,1,2
82,3,3,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,1,4,1,1
83,4,1,4,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,6,5,2
84,3,1,4,2,7,3,2,1,2,2,4,4,4,8,8,1,3,2,2,2,4,1,2
85,3,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,4,1,2
86,3,4,1,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,1,4,1,2
87,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,2
88,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,2
89,4,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,1,2
90,6,1,1,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,5,5,2
91,3,1,1,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,6,5,2
92,1,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,1,2
93,3,3,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,1,2
94,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,3,2
95,3,4,1,2,7,3,2,1,2,2,4,4,4,8,8,1,3,2,2,2,1,1,2
96,3,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,1,2
97,4,3,1,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,6,2,4,1,2
98,3,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,1,2
99,1,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,1,2
100,3,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,1,2
101,3,1,1,2,7,3,2,1,8,2,4,1,4,8,8,1,3,2,2,1,4,1,2
102,1,4,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,1,2
103,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,4,1,2
104,3,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,1,6,4,2
105,1,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,1,2
106,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,3,2
107,3,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,6,1,2
108,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,3,2
109,1,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,2
110,3,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,3,3,2
111,3,4,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,1,2
112,6,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,1,6,5,2
113,3,1,9,1,1,3,2,2,11,2,1,4,4,8,8,1,3,2,6,7,5,7,2
114,3,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,3,2
115,3,3,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,5,5,1
116,3,3,10,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,6,2,4,1,2
117,6,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,6,5,2
118,3,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,1,2
119,3,4,10,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,6,7,5,7,2
120,6,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,6,5,2
121,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,1,1
122,3,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,2
123,4,3,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,1,5,1,1
124,4,4,4,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,1,1,2
125,3,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,2
126,3,4,9,2,7,3,2,1,2,2,4,4,1,8,8,1,3,2,2,1,4,1,2
127,1,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,1,2
128,4,1,4,2,7,3,2,1,4,2,4,4,4,8,8,1,3,2,2,2,1,1,2
129,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,1,2
130,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,3,2
131,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,2
132,1,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,3,2
133,4,4,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,7,5,7,2
134,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,3,2
135,4,4,9,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,6,2,5,7,2
136,3,3,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,2,5,5,1
137,4,1,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,2
138,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,2
139,3,4,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,1,1
140,1,4,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,1,2
141,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,4,2
142,1,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,3,2
143,6,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,2
144,4,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,4,2
145,3,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,3,1,2
146,3,1,4,2,7,3,2,1,1,2,4,1,1,8,8,1,3,2,2,1,4,1,2
147,4,1,9,2,7,3,2,1,1,2,4,4,1,8,8,1,3,2,2,2,1,1,2
148,3,3,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,2
149,1,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,3,1,2
150,1,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,3,2
151,3,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,2
152,3,4,1,2,7,3,2,1,8,2,4,1,4,8,8,1,3,2,2,2,1,1,2
153,3,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,1,2
154,6,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,5,2
155,3,4,9,1,1,3,2,2,11,2,1,4,4,8,8,1,3,2,6,7,5,7,2
156,3,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,4,1,2
157,1,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,1,2
158,3,3,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,1,2
159,1,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,3,2
160,1,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,1,2
161,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,3,2
162,1,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,1,2
163,3,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,6,5,2
164,4,3,1,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,6,1,2
165,3,3,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,1,2
166,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,6,4,2
167,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,2
168,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,3,2
169,3,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,1,2
170,1,4,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,1,2
171,3,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,2,6,5,2
172,1,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,1,2
173,3,1,10,1,2,3,2,2,2,2,1,4,4,8,8,1,3,2,6,7,5,7,2
174,1,3,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,2
175,4,3,10,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,6,2,4,1,2
176,1,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,3,2
177,1,3,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,3,3,2
178,1,3,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,1,2
179,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,2
180,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,1,2
181,3,3,9,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,5,1
182,6,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,2,6,5,2
183,4,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,1,5,5,2
184,3,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,2
185,4,3,1,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,6,1,4,4,2
186,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,4,1,1
187,1,4,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,2
188,4,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,6,1,5,5,2
189,1,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,1,2
190,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,6,4,2
191,3,1,9,2,7,3,2,1,8,2,4,4,1,8,8,1,3,2,2,1,4,1,2
192,3,4,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,2
193,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,3,2
194,4,4,10,1,1,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,2
195,3,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,3,2
196,4,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,2,6,5,2
197,1,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,1,2
198,3,4,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,2
199,3,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,3,2
200,4,4,9,1,1,3,2,2,2,2,1,4,4,8,8,1,3,2,6,2,5,7,2
201,3,3,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,2
202,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,2
203,3,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,1,2
204,3,1,9,2,7,3,2,1,4,2,4,1,4,8,8,1,3,2,2,1,4,1,2
205,4,3,1,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,1,6,4,2
206,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,1
207,1,4,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,1,2
208,1,4,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,3,2
209,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,1,2
210,1,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,1,2
211,3,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,2
212,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,3,2
213,3,1,10,1,1,3,2,2,2,2,1,4,4,8,8,1,3,2,6,2,5,7,2
214,3,1,4,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,6,5,2
215,4,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,4,1,2
216,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,3,2
217,3,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,1,2
218,3,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,1,2
219,3,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,2
220,6,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,5,2
221,3,4,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,3,2
222,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,4,1,1
223,3,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,4,1,2
224,4,1,9,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,6,2,5,7,2
225,3,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,3,2
226,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,1,2
227,3,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,1,2
228,3,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,1,2
229,3,3,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,1,5,5,1
230,1,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,1,2
231,3,1,4,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,6,1,6,5,2
232,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,4,5,1
233,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,6,4,2
234,4,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,5,2
235,1,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,1,2
236,3,1,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,2
237,3,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,2
238,1,3,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,2
239,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,1,4,1,2
240,4,3,10,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,6,1,4,4,2
241,4,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,4,2
242,3,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,2
243,3,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,2
244,3,4,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,1,5,5,1
245,4,1,9,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,6,7,5,7,2
246,3,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,2
247,3,4,9,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,6,7,5,7,2
248,3,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,3,2
249,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,4,2
250,3,4,1,2,7,3,2,1,8,2,4,1,4,8,8,1,3,2,2,1,4,1,2
251,4,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,6,1,2
252,3,4,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,4,1,1
253,6,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,2,5,5,2
254,1,3,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,3,2
255,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,2
256,1,3,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,3,2
257,4,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,2
258,3,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,3,2
259,1,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,1,2
260,1,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,2
261,4,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,4,1,2
262,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,1,1
263,3,4,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,1,2
264,3,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,3,2
265,4,1,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,7,5,7,2
266,4,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,1,5,5,2
267,4,4,4,2,7,3,2,1,8,2,4,4,4,8,8,1,3,2,2,1,1,1,2
268,3,3,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,2
269,1,4,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,3,2
270,4,3,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,1,4,5,1
271,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,3,2
272,4,4,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,1,5,5,1
273,3,3,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,1,2
274,3,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,3,2
275,4,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,4,4,2
276,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,4,4,2
277,4,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,6,1,2
278,3,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,2
279,4,1,1,2,7,3,2,1,4,2,4,4,4,8,8,1,3,2,2,1,4,1,2
280,3,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,3,2
281,3,3,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,2,4,1,1
282,1,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,3,2
283,6,1,1,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,5,2
284,3,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,3,2
285,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,3,2
286,4,3,1,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,1,4,1,2
287,1,3,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,3,2
288,1,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,1,2
