id,XA,XB,XC,XD,XE,XF,XG,XH,XI,XJ,XK,XL,XM,XN,XO,XP,XQ,XR,XS,XT,XU,XV,class
29,4,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,6,5,class_2
30,3,4,10,1,1,3,2,2,2,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
31,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
32,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,4,5,class_1
33,3,3,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
34,3,3,1,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,6,2,6,4,class_2
35,1,3,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
36,3,1,10,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
37,6,1,4,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,5,class_2
38,3,3,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,2,4,5,class_1
39,3,1,10,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
40,1,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
41,1,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
42,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,1,6,4,class_2
43,3,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,1,6,5,class_2
44,3,3,9,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,1,class_1
45,3,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
46,3,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
47,3,3,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
48,3,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
49,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,4,4,class_2
50,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,4,4,class_2
51,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,4,1,class_2
52,3,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
53,1,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
54,3,3,1,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,class_1
55,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,5,class_1
56,1,3,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
57,4,1,4,2,7,3,2,1,2,2,4,4,4,8,8,1,3,2,2,2,1,1,class_2
58,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
59,3,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
60,3,3,1,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,6,1,6,4,class_2
61,6,1,4,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,class_2
62,1,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
63,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
64,1,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
65,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
66,4,4,1,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,1,1,1,class_2
67,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
68,4,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,4,1,class_2
69,3,3,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
70,3,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,5,class_2
71,4,1,10,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
72,1,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
73,4,1,10,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
74,3,3,1,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,6,1,4,4,class_2
75,1,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
76,4,4,10,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
77,3,4,9,1,2,3,2,2,2,2,1,4,4,8,8,1,3,2,6,7,5,7,class_2
78,4,3,1,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,6,2,6,4,class_2
79,3,3,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,2,5,5,class_1
80,4,3,1,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,6,1,class_2
81,3,4,1,2,7,3,2,1,1,2,4,1,4,8,8,1,3,2,2,2,4,1,class_2
82,3,3,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,1,4,1,class_1
83,4,1,4,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,6,5,class_2
84,3,1,4,2,7,3,2,1,2,2,4,4,4,8,8,1,3,2,2,2,4,1,class_2
85,3,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,4,1,class_2
86,3,4,1,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,1,4,1,class_2
87,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
88,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
89,4,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,1,class_2
90,6,1,1,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,5,5,class_2
91,3,1,1,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,6,5,class_2
92,1,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
93,3,3,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
94,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
95,3,4,1,2,7,3,2,1,2,2,4,4,4,8,8,1,3,2,2,2,1,1,class_2
96,3,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
97,4,3,1,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,6,2,4,1,class_2
98,3,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
99,1,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
100,3,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
101,3,1,1,2,7,3,2,1,8,2,4,1,4,8,8,1,3,2,2,1,4,1,class_2
102,1,4,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
103,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,4,1,class_2
104,3,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,1,6,4,class_2
105,1,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
106,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
107,3,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,6,1,class_2
108,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
109,1,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
110,3,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
111,3,4,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
112,6,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,1,6,5,class_2
113,3,1,9,1,1,3,2,2,11,2,1,4,4,8,8,1,3,2,6,7,5,7,class_2
114,3,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
115,3,3,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,5,5,class_1
116,3,3,10,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,6,2,4,1,class_2
117,6,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,6,5,class_2
118,3,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,1,class_2
119,3,4,10,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,6,7,5,7,class_2
120,6,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,6,5,class_2
121,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,1,class_1
122,3,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
123,4,3,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,1,5,1,class_1
124,4,4,4,2,7,3,2,1,1,2,4,4,4,8,8,1,3,2,2,2,1,1,class_2
125,3,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
126,3,4,9,2,7,3,2,1,2,2,4,4,1,8,8,1,3,2,2,1,4,1,class_2
127,1,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
128,4,1,4,2,7,3,2,1,4,2,4,4,4,8,8,1,3,2,2,2,1,1,class_2
129,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
130,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
131,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
132,1,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
133,4,4,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,7,5,7,class_2
134,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
135,4,4,9,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
136,3,3,9,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,2,5,5,class_1
137,4,1,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
138,3,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
139,3,4,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,1,class_1
140,1,4,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
141,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,4,class_2
142,1,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
143,6,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,class_2
144,4,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,4,class_2
145,3,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
146,3,1,4,2,7,3,2,1,1,2,4,1,1,8,8,1,3,2,2,1,4,1,class_2
147,4,1,9,2,7,3,2,1,1,2,4,4,1,8,8,1,3,2,2,2,1,1,class_2
148,3,3,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
149,1,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
150,1,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
151,3,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
152,3,4,1,2,7,3,2,1,8,2,4,1,4,8,8,1,3,2,2,2,1,1,class_2
153,3,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
154,6,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,5,class_2
155,3,4,9,1,1,3,2,2,11,2,1,4,4,8,8,1,3,2,6,7,5,7,class_2
156,3,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,4,1,class_2
157,1,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
158,3,3,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
159,1,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
160,1,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
161,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
162,1,3,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
163,3,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,6,5,class_2
164,4,3,1,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,6,1,class_2
165,3,3,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
166,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,6,4,class_2
167,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
168,1,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
169,3,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,1,class_2
170,1,4,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
171,3,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,2,6,5,class_2
172,1,4,10,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
173,3,1,10,1,2,3,2,2,2,2,1,4,4,8,8,1,3,2,6,7,5,7,class_2
174,1,3,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
175,4,3,10,1,2,3,1,1,8,1,6,4,2,8,8,1,3,2,6,2,4,1,class_2
176,1,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
177,1,3,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
178,1,3,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
179,3,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
180,1,4,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
181,3,3,9,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,5,class_1
182,6,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,2,6,5,class_2
183,4,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,1,5,5,class_2
184,3,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
185,4,3,1,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,6,1,4,4,class_2
186,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,4,1,class_1
187,1,4,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
188,4,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,6,1,5,5,class_2
189,1,3,10,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
190,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,6,4,class_2
191,3,1,9,2,7,3,2,1,8,2,4,4,1,8,8,1,3,2,2,1,4,1,class_2
192,3,4,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
193,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
194,4,4,10,1,1,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
195,3,4,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
196,4,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,2,6,5,class_2
197,1,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
198,3,4,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
199,3,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
200,4,4,9,1,1,3,2,2,2,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
201,3,3,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
202,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
203,3,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
204,3,1,9,2,7,3,2,1,4,2,4,1,4,8,8,1,3,2,2,1,4,1,class_2
205,4,3,1,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,1,6,4,class_2
206,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,class_1
207,1,4,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
208,1,4,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
209,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
210,1,3,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
211,3,4,10,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
212,1,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
213,3,1,10,1,1,3,2,2,2,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
214,3,1,4,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,6,2,6,5,class_2
215,4,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,4,1,class_2
216,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
217,3,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
218,3,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
219,3,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
220,6,1,4,2,7,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,5,5,class_2
221,3,4,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
222,3,4,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,4,1,class_1
223,3,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,4,1,class_2
224,4,1,9,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
225,3,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
226,1,3,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
227,3,4,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
228,3,4,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
229,3,3,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,1,5,5,class_1
230,1,4,10,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
231,3,1,4,2,7,3,1,2,2,1,4,4,4,8,8,1,3,2,6,1,6,5,class_2
232,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,4,5,class_1
233,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,6,4,class_2
234,4,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,5,class_2
235,1,4,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
236,3,1,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,2,5,7,class_2
237,3,3,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
238,1,3,10,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
239,3,3,10,1,2,3,1,1,2,1,6,4,2,8,8,1,3,2,6,1,4,1,class_2
240,4,3,10,1,1,3,1,1,8,1,6,4,2,8,8,1,3,2,6,1,4,4,class_2
241,4,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,4,class_2
242,3,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,4,1,class_2
243,3,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
244,3,4,9,1,8,3,1,2,2,1,4,4,4,8,8,1,3,2,6,1,5,5,class_1
245,4,1,9,1,1,3,2,2,8,2,1,4,4,8,8,1,3,2,6,7,5,7,class_2
246,3,4,9,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
247,3,4,9,1,2,3,2,2,8,2,1,4,4,8,8,1,3,2,6,7,5,7,class_2
248,3,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,4,3,class_2
249,4,3,10,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,1,6,4,class_2
250,3,4,1,2,7,3,2,1,8,2,4,1,4,8,8,1,3,2,2,1,4,1,class_2
251,4,3,10,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,6,1,class_2
252,3,4,1,1,8,3,1,2,8,1,4,4,4,8,8,1,3,2,6,2,4,1,class_1
253,6,1,1,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,2,5,5,class_2
254,1,3,10,1,2,3,1,1,11,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
255,1,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
256,1,3,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
257,4,1,1,2,7,3,1,2,1,1,4,4,4,8,8,1,3,2,6,2,5,5,class_2
258,3,4,9,1,1,3,1,1,11,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
259,1,3,9,1,2,3,1,1,5,1,2,4,4,8,8,1,3,2,6,1,3,1,class_2
260,1,3,9,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
261,4,3,1,1,2,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,4,1,class_2
262,3,3,9,1,8,3,1,2,1,1,4,4,4,8,8,1,3,2,6,1,5,1,class_1
263,3,4,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,3,1,class_2
264,3,3,9,1,1,3,1,1,2,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
265,4,1,9,1,2,3,2,2,11,2,1,4,4,8,8,1,3,2,6,7,5,7,class_2
266,4,1,4,2,7,3,1,2,5,1,4,4,4,8,8,1,3,2,6,1,5,5,class_2
267,4,4,4,2,7,3,2,1,8,2,4,4,4,8,8,1,3,2,2,1,1,1,class_2
268,3,3,10,1,1,3,1,1,5,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
269,1,4,9,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,3,class_2
270,4,3,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,1,4,5,class_1
271,3,4,9,1,2,3,1,1,2,1,2,4,4,8,8,1,3,2,6,1,3,3,class_2
272,4,4,1,1,8,3,1,2,11,1,4,4,4,8,8,1,3,2,6,1,5,5,class_1
273,3,3,9,1,2,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,4,1,class_2
274,3,3,10,1,1,3,1,1,1,1,2,4,4,8,8,1,3,2,6,2,3,3,class_2
275,4,3,10,1,1,3,1,1,2,1,6,4,2,8,8,1,3,2,6,2,4,4,class_2
276,3,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,4,4,class_2
277,4,3,1,1,1,3,1,1,11,1,6,4,2,8,8,1,3,2,6,2,6,1,class_2
