ID,proline,flavanoids,flavanoids,alcohol,alcohol,color_intensity,class
142,520,0.52,0.52,13.52,13.52,4.35,2
143,550,0.8,0.8,13.62,13.62,4.4,2
144,855,0.78,0.78,12.25,12.25,8.21,2
145,830,0.55,0.55,13.16,13.16,4,2
146,415,0.34,0.34,13.88,13.88,4.9,2
147,625,0.65,0.65,12.87,12.87,7.65,2
148,650,0.76,0.76,13.32,13.32,8.42,2
149,550,1.39,1.39,13.08,13.08,9.4,2
150,500,1.57,1.57,13.5,13.5,8.6,2
151,480,1.36,1.36,12.79,12.79,10.8,2
152,425,1.28,1.28,13.11,13.11,7.1,2
153,675,0.83,0.83,13.23,13.23,10.52,2
154,640,0.58,0.58,12.58,12.58,7.6,2
155,725,0.63,0.63,13.17,13.17,7.9,2
156,480,0.83,0.83,13.84,13.84,9.01,2
157,880,0.58,0.58,12.45,12.45,7.5,2
158,660,1.31,1.31,14.34,14.34,13,2
159,620,1.1,1.1,13.48,13.48,11.75,2
160,520,0.92,0.92,12.36,12.36,7.65,2
161,680,0.56,0.56,13.69,13.69,5.88,2
162,570,0.6,0.6,12.85,12.85,5.58,2
163,675,0.7,0.7,12.96,12.96,5.28,2
164,615,0.68,0.68,13.78,13.78,9.58,2
165,520,0.47,0.47,13.73,13.73,6.62,2
166,695,0.92,0.92,13.45,13.45,10.68,2
167,685,0.66,0.66,12.82,12.82,10.26,2
168,750,0.84,0.84,13.58,13.58,8.66,2
169,630,0.96,0.96,13.4,13.4,8.5,2
170,510,0.49,0.49,12.2,12.2,5.5,2
171,470,0.51,0.51,12.77,12.77,9.899999,2
172,660,0.7,0.7,14.16,14.16,9.7,2
173,740,0.61,0.61,13.71,13.71,7.7,2
174,750,0.75,0.75,13.4,13.4,7.3,2
175,835,0.69,0.69,13.27,13.27,10.2,2
176,840,0.68,0.68,13.17,13.17,9.3,2
177,560,0.76,0.76,14.13,14.13,9.2,2
